heartbeat_id,window_id,sensor_pair,sensor_names,ptt_ms,sensor3_time_s,sensor4_time_s,window_start_s,window_end_s,reference_sensor,reference_mean_ibi_ms,sensor5_time_s
730,37,sensor3-sensor4,finger→wrist,17.999074053903996,196.78387663133037,196.80187570538428,184.8054928484574,204.80246412234453,sensor3,827.1748380424493,
731,37,sensor3-sensor4,finger→wrist,44.9976851347742,197.6568317229447,197.70182940807948,184.8054928484574,204.80246412234453,sensor3,827.1748380424493,
732,37,sensor3-sensor4,finger→wrist,26.998611080841783,198.52978681455906,198.5567854256399,184.8054928484574,204.80246412234453,sensor3,827.1748380424493,
733,37,sensor3-sensor4,finger→wrist,44.9976851347742,199.3397451469847,199.38474283211949,184.8054928484574,204.80246412234453,sensor3,827.1748380424493,
734,37,sensor3-sensor4,finger→wrist,26.998611080841783,200.19470116454517,200.221699775626,184.8054928484574,204.80246412234453,sensor3,827.1748380424493,
735,37,sensor3-sensor4,finger→wrist,35.99814810780799,201.1036544042673,201.1396525523751,184.8054928484574,204.80246412234453,sensor3,827.1748380424493,
736,37,sensor3-sensor4,finger→wrist,35.99814810780799,201.96760995885467,202.00360810696247,184.8054928484574,204.80246412234453,sensor3,827.1748380424493,
737,37,sensor3-sensor4,finger→wrist,17.999074053903996,202.79556736533425,202.81356643938815,184.8054928484574,204.80246412234453,sensor3,827.1748380424493,
738,37,sensor3-sensor4,finger→wrist,44.99768513474578,203.62352477181383,203.66852245694858,184.8054928484574,204.80246412234453,sensor3,827.1748380424493,
739,37,sensor3-sensor4,finger→wrist,17.999074053903996,204.47848078937426,204.49647986342816,184.8054928484574,204.80246412234453,sensor3,827.1748380424493,
740,38,sensor3-sensor4,finger→wrist,26.998611080841783,190.2322136757094,190.25921228679024,189.8002358984157,209.79720717230285,sensor3,831.4789644466433,
741,38,sensor3-sensor4,finger→wrist,35.99814810780799,191.05117154516202,191.08716969326983,189.8002358984157,209.79720717230285,sensor3,831.4789644466433,
742,38,sensor3-sensor4,finger→wrist,26.998611080870205,191.88812848866854,191.9151270997494,189.8002358984157,209.79720717230285,sensor3,831.4789644466433,
743,38,sensor3-sensor4,finger→wrist,53.99722216171199,192.70708635812116,192.76108358028287,189.8002358984157,209.79720717230285,sensor3,831.4789644466433,
744,38,sensor3-sensor4,finger→wrist,26.998611080870205,193.49904561649294,193.5260442275738,189.8002358984157,209.79720717230285,sensor3,831.4789644466433,
745,38,sensor3-sensor4,finger→wrist,44.99768513474578,194.30900394891862,194.35400163405336,189.8002358984157,209.79720717230285,sensor3,831.4789644466433,
746,38,sensor3-sensor4,finger→wrist,44.99768513474578,195.172959503506,195.21795718864075,189.8002358984157,209.79720717230285,sensor3,831.4789644466433,
747,38,sensor3-sensor4,finger→wrist,44.99768513474578,195.97391829890472,196.01891598403947,189.8002358984157,209.79720717230285,sensor3,831.4789644466433,
748,38,sensor3-sensor4,finger→wrist,17.999074053932418,196.78387663133037,196.8018757053843,189.8002358984157,209.79720717230285,sensor3,831.4789644466433,
749,38,sensor3-sensor4,finger→wrist,44.99768513474578,197.65683172294473,197.70182940807948,189.8002358984157,209.79720717230285,sensor3,831.4789644466433,
750,38,sensor3-sensor4,finger→wrist,26.998611080841783,198.52978681455906,198.5567854256399,189.8002358984157,209.79720717230285,sensor3,831.4789644466433,
751,38,sensor3-sensor4,finger→wrist,44.99768513474578,199.33974514698474,199.38474283211949,189.8002358984157,209.79720717230285,sensor3,831.4789644466433,
752,38,sensor3-sensor4,finger→wrist,26.998611080841783,200.19470116454517,200.221699775626,189.8002358984157,209.79720717230285,sensor3,831.4789644466433,
753,38,sensor3-sensor4,finger→wrist,35.99814810780799,201.1036544042673,201.1396525523751,189.8002358984157,209.79720717230285,sensor3,831.4789644466433,
754,38,sensor3-sensor4,finger→wrist,35.99814810780799,201.9676099588547,202.0036081069625,189.8002358984157,209.79720717230285,sensor3,831.4789644466433,
755,38,sensor3-sensor4,finger→wrist,17.999074053903996,202.79556736533425,202.81356643938815,189.8002358984157,209.79720717230285,sensor3,831.4789644466433,
